NSE/GPTINFRA,GPT Infraprojects Limited
NSE/KAYA,Kaya Limited
NSE/MERCATOR,Mercator Limited
NSE/MIC,MIC Electronics Limited
NSE/MORARJEE,Morarjee Textiles Limited
NSE/PGIL,Pearl Global Industries Limited
NSE/PRECOT,Precot Meridian Limited
NSE/STAMPEDE,Stampede Capital Limited
NSE/UJJIVAN,UJJIVAN FINANCIAL SERVICES LIMITED
NSE/UPERGANGES,Upper Ganges Sugar & Industries Limited
NSE/VARDHACRLC,Vardhman Acrylics Limited
NSE/JIKIND,JIK Industries Limited
NSE/ELFORGE,EL Forge Limited
NSE/AIAENG,AIA Engineering Limited
NSE/ALPSINDUS,Alps Industries Limited
NSE/BALPHARMA,Bal Pharma Limited
NSE/BFINVEST,BF Investment Limited
NSE/BHARATRAS,Bharat Rasayan Limited
NSE/DHAMPURSUG,Dhampur Sugar Mills Limited
NSE/DICIND,DIC India Limited
NSE/GANDHITUBE,Gandhi Special Tubes Limited
NSE/GUJAPOLLO,Gujarat Apollo Industries Limited
NSE/HAVELLS,Havells India Limited
NSE/SADBHAV,Sadbhav Engineering Limited
NSE/SBIN,State Bank of India
NSE/SETFNIFBK,SBI-ETF Nifty Bank
NSE/BALKRISHNA,Balkrishna Paper Mills Limited
NSE/BANARISUG,Bannari Amman Sugars Limited
NSE/BGRENERGY,BGR Energy Systems Limited
NSE/BLKASHYAP,B. L. Kashyap and Sons Limited
NSE/BSLIMITED,BS LIMITED
NSE/CINEVISTA,Cinevista Limited
NSE/DCBBANK,DCB BANK LIMITED
NSE/DPSCLTD,DPSC Limited
NSE/ELAND,E-Land Apparel Limited
NSE/DUCON,Ducon Infratechnologies Limited
NSE/GANESHHOUC,Ganesh Housing Corporation Limited
NSE/GSFC,Gujarat State Fertilizers & Chemicals Limited
NSE/HCLTECH,HCL Technologies Limited
NSE/GTNTEX,GTN Textiles Limited
NSE/GUJNRECOKE,Gujarat NRE Coke Limited
NSE/HITECHGEAR,The Hi-Tech Gears Limited
NSE/HOTELEELA,Hotel Leela Venture Limited
NSE/ILFSTRANS,IL&FS Transportation Networks Limited
NSE/ISMTLTD,ISMT Limited
NSE/JUBLINDS,Jubilant Industries Limited
NSE/KAJARIACER,Kajaria Ceramics Limited
NSE/KSCL,Kaveri Seed Company Limited
NSE/MUTHOOTFIN,Muthoot Finance Limited
NSE/LT,Larsen & Toubro Limited
NSE/MAHINDCIE,Mahindra CIE Automotive Limited
NSE/MARUTI,Maruti Suzuki India Limited
NSE/MUKANDENGG,Mukand Engineers Limited
NSE/PCJEWELLER,PC Jeweller Limited
NSE/PREMIERPOL,Premier Polyfilm Limited
NSE/RTNPOWER,RattanIndia Power Limited
NSE/RAMKY,Ramky Infrastructure Limited
NSE/REFEX,Refex Industries Limited
NSE/RPGLIFE,RPG Life Sciences Limited
NSE/SAMBHAAV,Sambhaav Media Limited
NSE/SANGHVIFOR,Sanghvi Forging and Engineering Limited
NSE/SELAN,Selan Exploration Technology Limited
NSE/SESHAPAPER,Seshasayee Paper and Boards Limited
NSE/SHEMAROO,Shemaroo Entertainment Limited
NSE/THIRUSUGAR,Thiru Arooran Sugars Limited
NSE/SRHHLINDST,SRHHL Industries Limited
NSE/BAGFILMS,B.A.G Films and Media Limited
NSE/BANKINDIA,Bank of India
NSE/BANG,Bang Overseas Limited
NSE/BHEL,Bharat Heavy Electricals Limited
NSE/BIGBLOC,Bigbloc Construction Limited
NSE/CENTENKA,Century Enka Limited
NSE/CUPID,Cupid Limited
NSE/DIGJAMLTD,Digjam Limited
NSE/COXKINGS,Cox & Kings Limited
NSE/DATAMATICS,Datamatics Global Services Limited
NSE/ESSARSHPNG,Essar Shipping Limited
NSE/EVERONN,Everonn Education Limited
NSE/EVEREADY,Eveready Industries India Limited
NSE/FLEXITUFF,Flexituff International Limited
NSE/GAL,Gyscoal Alloys Limited
NSE/GILLANDERS,Gillanders Arbuthnot & Company Limited
NSE/GRINDWELL,Grindwell Norton Limited
NSE/HILTON,Hilton Metal Forging Limited
NSE/GODREJCP,Godrej Consumer Products Limited
NSE/GSKCONS,GlaxoSmithKline Consumer Healthcare Limited
NSE/HINDUNILVR,Hindustan Unilever Limited
NSE/IMFA,Indian Metals & Ferro Alloys Limited
